,Datetime,PV Leistung in kW
0,01.01. 00:00,0
1,01.01. 00:15,0
2,01.01. 00:30,0
3,01.01. 00:45,0
4,01.01. 01:00,0
5,01.01. 01:15,0
6,01.01. 01:30,0
7,01.01. 01:45,0
8,01.01. 02:00,0
9,01.01. 02:15,0
10,01.01. 02:30,0
11,01.01. 02:45,0
12,01.01. 03:00,0
13,01.01. 03:15,0
14,01.01. 03:30,0
15,01.01. 03:45,0
16,01.01. 04:00,0
17,01.01. 04:15,0
18,01.01. 04:30,0
19,01.01. 04:45,0
20,01.01. 05:00,0
21,01.01. 05:15,0
22,01.01. 05:30,0
23,01.01. 05:45,0
24,01.01. 06:00,0
25,01.01. 06:15,0
26,01.01. 06:30,0
27,01.01. 06:45,0
28,01.01. 07:00,0
29,01.01. 07:15,0
30,01.01. 07:30,0
31,01.01. 07:45,0
32,01.01. 08:00,0.004013333333333333
33,01.01. 08:15,0.004013333333333333
34,01.01. 08:30,0.004013333333333333
35,01.01. 08:45,0.004013333333333333
36,01.01. 09:00,0.03260833333333333
37,01.01. 09:15,0.03260833333333333
38,01.01. 09:30,0.03260833333333333
39,01.01. 09:45,0.03260833333333333
40,01.01. 10:00,0.07502166666666667
41,01.01. 10:15,0.07502166666666667
42,01.01. 10:30,0.07502166666666667
43,01.01. 10:45,0.07502166666666667
44,01.01. 11:00,0.12355666666666666
45,01.01. 11:15,0.12355666666666666
46,01.01. 11:30,0.12355666666666666
47,01.01. 11:45,0.12355666666666666
48,01.01. 12:00,0.13802166666666668
49,01.01. 12:15,0.13802166666666668
50,01.01. 12:30,0.13802166666666668
51,01.01. 12:45,0.13802166666666668
52,01.01. 13:00,0.156855
53,01.01. 13:15,0.156855
54,01.01. 13:30,0.156855
55,01.01. 13:45,0.156855
56,01.01. 14:00,0.09367666666666667
57,01.01. 14:15,0.09367666666666667
58,01.01. 14:30,0.09367666666666667
59,01.01. 14:45,0.09367666666666667
60,01.01. 15:00,0
61,01.01. 15:15,0
62,01.01. 15:30,0
63,01.01. 15:45,0
64,01.01. 16:00,0
65,01.01. 16:15,0
66,01.01. 16:30,0
67,01.01. 16:45,0
68,01.01. 17:00,0
69,01.01. 17:15,0
70,01.01. 17:30,0
71,01.01. 17:45,0
72,01.01. 18:00,0
73,01.01. 18:15,0
74,01.01. 18:30,0
75,01.01. 18:45,0
76,01.01. 19:00,0
77,01.01. 19:15,0
78,01.01. 19:30,0
79,01.01. 19:45,0
80,01.01. 20:00,0
81,01.01. 20:15,0
82,01.01. 20:30,0
83,01.01. 20:45,0
84,01.01. 21:00,0
85,01.01. 21:15,0
86,01.01. 21:30,0
87,01.01. 21:45,0
88,01.01. 22:00,0
89,01.01. 22:15,0
90,01.01. 22:30,0
91,01.01. 22:45,0
92,01.01. 23:00,0
93,01.01. 23:15,0
94,01.01. 23:30,0
95,01.01. 23:45,0
96,02.01. 00:00,0
97,02.01. 00:15,0
98,02.01. 00:30,0
99,02.01. 00:45,0
100,02.01. 01:00,0
101,02.01. 01:15,0
102,02.01. 01:30,0
103,02.01. 01:45,0
104,02.01. 02:00,0
105,02.01. 02:15,0
106,02.01. 02:30,0
107,02.01. 02:45,0
108,02.01. 03:00,0
109,02.01. 03:15,0
110,02.01. 03:30,0
111,02.01. 03:45,0
112,02.01. 04:00,0
113,02.01. 04:15,0
114,02.01. 04:30,0
115,02.01. 04:45,0
116,02.01. 05:00,0
117,02.01. 05:15,0
118,02.01. 05:30,0
119,02.01. 05:45,0
120,02.01. 06:00,0
121,02.01. 06:15,0
122,02.01. 06:30,0
123,02.01. 06:45,0
124,02.01. 07:00,0
125,02.01. 07:15,0
126,02.01. 07:30,0
127,02.01. 07:45,0
128,02.01. 08:00,0.004528333333333333
129,02.01. 08:15,0.004528333333333333
130,02.01. 08:30,0.004528333333333333
131,02.01. 08:45,0.004528333333333333
132,02.01. 09:00,0.032378333333333335
133,02.01. 09:15,0.032378333333333335
134,02.01. 09:30,0.032378333333333335
135,02.01. 09:45,0.032378333333333335
136,02.01. 10:00,0.065155
137,02.01. 10:15,0.065155
138,02.01. 10:30,0.065155
139,02.01. 10:45,0.065155
140,02.01. 11:00,0.07633333333333332
141,02.01. 11:15,0.07633333333333332
142,02.01. 11:30,0.07633333333333332
143,02.01. 11:45,0.07633333333333332
144,02.01. 12:00,0.12614166666666668
